State_Pair,State1,State2,Total_Passengers
Arkansas-Virginia,Arkansas,Virginia,17560
Arkansas-Minnesota,Arkansas,Minnesota,17530
New Mexico-Ohio,New Mexico,Ohio,17480
Georgia-Vermont,Georgia,Vermont,17310
Illinois-Wyoming,Illinois,Wyoming,17290
Montana-Pennsylvania,Montana,Pennsylvania,17110
Colorado-Rhode Island,Colorado,Rhode Island,17040
Connecticut-Indiana,Connecticut,Indiana,16930
New Jersey-New Mexico,New Jersey,New Mexico,16850
Arkansas-Ohio,Arkansas,Ohio,16760
Connecticut-Louisiana,Connecticut,Louisiana,16730
Colorado-Maine,Colorado,Maine,16710
Alabama-Utah,Alabama,Utah,16660
Massachusetts-Nebraska,Massachusetts,Nebraska,16660
Michigan-Montana,Michigan,Montana,16650
Iowa-Oregon,Iowa,Oregon,16620
Iowa-Massachusetts,Iowa,Massachusetts,16610
Indiana-Oklahoma,Indiana,Oklahoma,16600
Mississippi-New York,Mississippi,New York,16390
Alabama-Minnesota,Alabama,Minnesota,16380
Oklahoma-South Carolina,Oklahoma,South Carolina,16200
Montana-North Carolina,Montana,North Carolina,16140
Michigan-New Mexico,Michigan,New Mexico,16090
Ohio-Rhode Island,Ohio,Rhode Island,15940
Kansas-Minnesota,Kansas,Minnesota,15860
Rhode Island-South Carolina,Rhode Island,South Carolina,15840
New Hampshire-New York,New Hampshire,New York,15810
Missouri-Rhode Island,Missouri,Rhode Island,15680
Alaska-North Carolina,Alaska,North Carolina,15610
Kansas-New York,Kansas,New York,15610
Arizona-New Hampshire,Arizona,New Hampshire,15550
Texas-Vermont,Texas,Vermont,15490
Connecticut-Wisconsin,Connecticut,Wisconsin,15150
Colorado-New Hampshire,Colorado,New Hampshire,15050
Connecticut-New Jersey,Connecticut,New Jersey,15010
Iowa-Utah,Iowa,Utah,14990
Michigan-Vermont,Michigan,Vermont,14750
Indiana-Wisconsin,Indiana,Wisconsin,14650
Oklahoma-Wisconsin,Oklahoma,Wisconsin,14570
Louisiana-New Mexico,Louisiana,New Mexico,14370
New York-Wyoming,New York,Wyoming,14310
Iowa-Virginia,Iowa,Virginia,14220
Montana-New Jersey,Montana,New Jersey,14190
Louisiana-Nebraska,Louisiana,Nebraska,14140
Mississippi-Virginia,Mississippi,Virginia,14040
Arkansas-Maryland,Arkansas,Maryland,14000
Florida-Wyoming,Florida,Wyoming,13990
Kansas-Washington,Kansas,Washington,13980
North Dakota-Washington,North Dakota,Washington,13900
Arkansas-Massachusetts,Arkansas,Massachusetts,13890
New Jersey-Rhode Island,New Jersey,Rhode Island,13860
Maine-Tennessee,Maine,Tennessee,13850
Kansas-North Carolina,Kansas,North Carolina,13810
Kentucky-Oklahoma,Kentucky,Oklahoma,13770
Colorado-Vermont,Colorado,Vermont,13750
Nevada-New Hampshire,Nevada,New Hampshire,13670
Maine-Ohio,Maine,Ohio,13460
Arkansas-Tennessee,Arkansas,Tennessee,13440
Idaho-Pennsylvania,Idaho,Pennsylvania,13420
