"State_Pair","State1","State2","Country1","Country2","Total_Passengers"
"Ohio-Texas","Ohio","Texas","United States","United States",506800
"Arizona-Florida","Arizona","Florida","United States","United States",501960
"Florida-Louisiana","Florida","Louisiana","United States","United States",501650
"Florida-Wisconsin","Florida","Wisconsin","United States","United States",497700
"California-Louisiana","California","Louisiana","United States","United States",493210
"District of Columbia-New York","District of Columbia","New York","United States","United States",493020
"Colorado-Missouri","Colorado","Missouri","United States","United States",492750
"District of Columbia-Massachusetts","District of Columbia","Massachusetts","United States","United States",488430
"Arizona-Nevada","Arizona","Nevada","United States","United States",485350
"Minnesota-Texas","Minnesota","Texas","United States","United States",475900
"Massachusetts-Pennsylvania","Massachusetts","Pennsylvania","United States","United States",466570
"Georgia-Michigan","Georgia","Michigan","United States","United States",463300
"Florida-Rhode Island","Florida","Rhode Island","United States","United States",461440
"Georgia-Missouri","Georgia","Missouri","United States","United States",460570
"Colorado-Georgia","Colorado","Georgia","United States","United States",459070
"Illinois-Tennessee","Illinois","Tennessee","United States","United States",457080
"Georgia-Tennessee","Georgia","Tennessee","United States","United States",452080
"Massachusetts-North Carolina","Massachusetts","North Carolina","United States","United States",447880
